SR_NO,TEXT_REMARKS,ACTION_CATEGORY,HOLD_CANCEL_REASON,processed_text
8752,meter tested as per safety norms meter accuracy found within limit at time of testing,,,meter test safety norm meter accuracy limit time test
8753,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8754,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8756,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8757,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8758,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8759,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8760,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8761,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8762,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8764,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8765,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8766,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8768,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8769,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8770,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8771,meter tested as per safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8772,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8773,meter tested as per safety norms meter accuracy found within limit at the time of testing,,,meter test safety norm meter accuracy limit time test
8775,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
8776,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8777,meter tested as per safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8778,meter tested as per all safety normsall display parameters found ok at the time of meter testing,,,meter test safety normsall display parameter ok time meter test
8779,meter tested as per all safety normsmeter accuracy found within limit at the time of testing,,,meter test safety normsmeter accuracy limit time test
8780,meter tested as per all safety norms and accuracy found within limit at the time of testing,,,meter test safety norm accuracy limit time test
8781,meter tested as per safety noms meter accuracy within limit at the time of testing,,,meter test safety nom meter accuracy limit time test
8782,meter tested as per all safety norms all display parameters found ok at the time of meter testing,,,meter test safety norm display parameter ok time meter test
